ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.ArrayUtils.shift(float[],int,int,int);5;37;3;27;1;38;2;27;3;24;10;10;12;7;8;8;2;8;org.apache.commons.lang3.ArrayUtilsTest.testShiftAllFloat();0;64;10;54;10;5;0;59;10;49;5;5;5;5;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testShiftAllFloat();80;1;2.5;0;0;0;0;
org.apache.commons.lang3.ArrayUtils.shift(Object[],int,int,int);34;37;3;27;1;38;2;27;3;24;10;10;12;7;8;8;2;8;org.apache.commons.lang3.ArrayUtilsTest.testShiftRangeNullObject();0;28;6;22;6;3;0;25;6;19;3;3;3;3;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testShiftRangeNullObject();34;1;0.5;24;0.6666666666666667;4;0.10526315789473684;
org.apache.commons.lang3.ObjectUtils.allNotNull(Object...);2;11;1;6;1;4;1;8;2;6;4;4;4;4;4;4;2;4;org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();2;11;1;9;3;1;0;10;1;9;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8.166666666666666;1;1.5;10;1;6;0.9999999999999999;
org.apache.commons.lang3.ObjectUtils.hashCodeMulti(Object...);4;10;3;6;2;3;0;8;4;4;3;3;3;1;0;0;2;0;org.apache.commons.lang3.ObjectUtilsTest.testHashCodeMulti_multiple_likeList();0;18;9;12;8;3;0;15;9;6;3;3;3;3;0;0;0;0;org.apache.commons.lang3.ObjectUtilsTest.testHashCodeMulti_multiple_likeList();21.5;1;1.5;9;1;7;1;
org.apache.commons.lang3.AnnotationUtils.isValidAnnotationMemberType(Class<?>);3;10;1;6;7;3;0;6;1;5;3;3;7;1;1;0;1;0;org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType();2;14;1;10;5;4;1;9;3;6;3;3;3;1;0;0;0;0;org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType();5.5;0;0;6;0.75;2;0.6666666666666666;
org.apache.commons.lang3.ArrayUtils.add(byte[],byte);6;5;2;3;2;1;0;4;2;2;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayByte();0;16;3;13;5;1;0;15;3;12;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayByte();5;0;0;4;1;1;1;
org.apache.commons.lang3.ArrayUtils.addAll(char[],char...);5;11;2;8;4;3;0;9;2;7;3;3;3;3;2;2;1;2;org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray();2;59;5;56;16;1;0;58;5;53;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray();5.666666666666667;0;0;11;1;3;1;
org.apache.commons.lang3.AnnotationUtils.hashCode(Annotation);5;19;4;14;7;5;1;13;5;8;5;5;5;1;3;0;3;0;org.apache.commons.lang3.AnnotationUtilsTest.testHashCode();1;10;4;8;2;1;0;8;4;4;1;1;1;1;0;0;0;0;org.apache.commons.lang3.AnnotationUtilsTest.testHashCode();67.33333333333333;1;15.333333333333334;9;0.5294117647058824;6;0.6;
org.apache.commons.lang3.ArrayUtils.getLength(Object);26;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testGetLength();1;44;17;42;3;1;0;43;17;26;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testGetLength();4;0;0;5;1;2;1;
org.apache.commons.lang3.ArrayUtils.insert(int,byte[],byte...);9;20;2;13;4;10;1;14;2;12;6;6;7;3;2;2;1;2;org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();3;18;4;16;7;1;0;17;4;13;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();8.166666666666666;0;0;19;0.9999999999999999;6;0.857142857142857;
org.apache.commons.lang3.ArrayUtils.isSameLength(Object[],Object[]);4;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testSameLength();0;22;5;20;3;1;0;21;5;16;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testSameLength();3;0;0;2;1;1;1;
org.apache.commons.lang3.ArrayUtils.isSameType(Object,Object);6;6;1;3;4;2;0;4;1;3;2;2;3;1;0;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testSameType();3;10;1;8;4;1;0;9;1;8;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testSameType();4;0;0;5;1;2;1;
org.apache.commons.lang3.ArrayUtils.isSorted(int[]);3;15;4;10;2;4;1;13;5;8;4;4;5;4;4;4;2;4;org.apache.commons.lang3.ArrayUtilsTest.testIsSortedInt();0;10;2;8;3;1;0;9;2;7;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testIsSortedInt();10.666666666666666;1;1;14;1;8;0.7999999999999999;
org.apache.commons.lang3.ArrayUtils.clone(double[]);8;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testShuffleDouble();1;16;6;11;10;3;0;14;7;7;3;3;3;2;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testShuffleDouble();8;0;0;5;1;2;1;
