ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.dfp.Dfp.intValue();8;18;3;11;5;6;1;15;4;11;5;5;5;3;2;2;1;2;org.apache.commons.math4.dfp.DfpTest.testIntValue();1;9;1;6;3;1;0;7;1;6;1;1;1;1;0;0;0;0;org.apache.commons.math4.dfp.DfpTest.testIntValue();9;1;0.5;16;1;6;0.6666666666666667;
org.apache.commons.math4.dfp.Dfp.isZero();8;8;1;5;7;2;0;6;1;5;2;2;3;1;1;0;1;0;org.apache.commons.math4.dfp.DfpTest.testIsZero();4;13;1;11;6;1;0;12;1;11;1;1;1;1;0;0;0;0;org.apache.commons.math4.dfp.DfpTest.testIsZero();5;0;0;7;1;2;1;
org.apache.commons.math4.dfp.Dfp.linearCombination(Dfp[],Dfp[]);3;11;3;6;5;4;1;9;3;6;3;3;3;1;0;0;1;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testLinearCombinationFaFa();1;11;6;8;6;2;0;10;7;3;2;2;2;1;0;0;0;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testLinearCombinationFaFa();26;1;10;7;0.7777777777777778;4;0.6666666666666666;
org.apache.commons.math4.dfp.Dfp.multiply(int);11;7;1;4;4;2;0;4;1;3;2;2;3;1;1;0;1;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testMultiplyInt();0;7;1;3;3;3;0;8;3;5;3;3;3;1;0;0;0;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testMultiplyInt();4;0;0;3;0.6;1;0.5;
org.apache.commons.math4.dfp.Dfp.power10(int);3;21;2;17;5;8;1;13;2;11;5;3;5;1;7;0;1;0;org.apache.commons.math4.dfp.DfpTest.testPower10();1;24;2;21;4;1;0;22;2;20;1;1;1;1;0;0;0;0;org.apache.commons.math4.dfp.DfpTest.testPower10();8;0;0;9;0.5;2;0.25;
org.apache.commons.math4.dfp.Dfp.remainder(Dfp);8;7;2;4;6;2;0;5;2;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testRemainderField();0;7;1;3;4;3;0;8;3;5;3;3;3;1;0;0;0;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testRemainderField();5.5;0;0;6;1;2;1;
org.apache.commons.math4.dfp.Dfp.signum();1;7;1;4;4;2;0;4;1;3;3;3;4;1;1;0;1;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testSignum();0;5;1;2;4;2;0;5;2;3;2;2;2;1;0;0;0;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testSignum();4;0;0;3;0.6;1;0.5;
org.apache.commons.math4.dfp.Dfp.strictlyNegative();7;8;1;5;7;2;0;6;1;5;2;2;4;1;1;0;1;0;org.apache.commons.math4.dfp.DfpTest.testSignPredicates();4;42;1;40;9;1;0;41;1;40;1;1;1;1;0;0;0;0;org.apache.commons.math4.dfp.DfpTest.testSignPredicates();5;0;0;7;1;2;1;
org.apache.commons.math4.dfp.DfpMath.sin(Dfp);8;27;8;20;16;16;1;21;8;13;5;5;5;1;1;0;1;0;org.apache.commons.math4.analysis.function.SincTest.testShortcut();0;15;7;10;4;2;0;12;8;4;2;2;2;1;0;0;0;0;org.apache.commons.math4.analysis.function.SincTest.testShortcut();22;0;0;21;0.875;1;0.125;
org.apache.commons.math4.genetics.ElitisticListPopulation.setElitismRate(double);7;6;1;3;2;2;0;4;1;3;2;2;3;1;0;0;1;0;org.apache.commons.math4.genetics.ElitisticListPopulationTest.testSetElitismRateTooLow();0;16;9;10;8;3;0;13;9;4;3;3;3;3;0;0;0;0;org.apache.commons.math4.genetics.ElitisticListPopulationTest.testSetElitismRateTooLow();12;0;0;5;1;2;1;
