ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminator();4;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminator();11,2,3,4,5,6,13,7,3,4,3,4,5,6,13,7,3,4,3,4,5,6,5,6,5,7,8,9,10,12;30;1;6;0;15;0.9375;0;7;0.30434782608695654;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminatorOnAnEvenByte();4;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminatorOnAnEvenByte();11,2,3,4,5,6,13,7,3,4,3,4,5,6,13,7,3,4,3,4,5,6,5,6,13,7,3,4,3,4,5,6,13,7,3,4,3,4,5,6,5,6,5,7,8,9,10,12;48;1;10;1;15;0.9375;3;7;0.30434782608695654;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminatorAfterFromIndex();4;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsFirstDoubleTerminatorAfterFromIndex();11,2,3,4,5,6,13,7,3,4,3,4,5,6,5,6,5,7,8,9,10,12;22;1;4;0;15;0.9375;0;7;0.30434782608695654;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();0;7;1;5;2;1;0;6;1;5;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();7,2,3,4,5,4,5,4,5,4,6,8;12;1;3;7;7;0.7777777777777778;4;4;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();0;7;1;5;2;1;0;6;1;5;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();7,2,3,4,5,4,5,4,6,8;10;1;2;0;7;0.7777777777777778;0;4;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();0;7;1;5;2;1;0;6;1;5;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();7,2,3,4,5,4,6,8;8;1;1;0;7;0.7777777777777778;0;3;0.5;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();0;7;1;5;2;1;0;6;1;5;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadStringsCorrectly();7,2,9,8;4;0;0;2;3;0.3333333333333333;1;1;0.16666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();7,2,3,4,5,4,5,4,6,8;10;1;2;0;7;0.7777777777777778;0;4;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();7,2,3,4,5,4,6,8;8;1;1;0;7;0.7777777777777778;0;3;0.5;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldRightPadUnicodeStringsCorrectly();7,2,9,8;4;0;0;0;3;0.3333333333333333;0;1;0.16666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();7,2,3,4,5,4,5,4,5,4,6,8;12;1;3;0;7;0.7777777777777778;0;4;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();7,2,3,4,5,4,5,4,6,8;10;1;2;0;7;0.7777777777777778;0;4;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();7,2,3,4,5,4,6,8;8;1;1;0;7;0.7777777777777778;0;3;0.5;
com.mpatric.mp3agic.BufferTools.padStringRight(String,int,char);7;8;2;5;4;3;0;7;2;5;3;3;3;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();0;6;1;4;2;1;0;5;1;4;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldPadRightWithNullCharacters();7,2,9,8;4;0;0;0;3;0.3333333333333333;0;1;0.16666666666666666;
